datetime,asset,timeframe,strategy,stake,result,pnl,payout,roid,mode
2025-09-20T22:49:00.215943-03:00,EURUSD-OTC,60,ghost_rzim,10.0,WIN,8.7,87.0,13099779939,REAL
2025-09-20T22:55:00.297535-03:00,EURUSD-OTC,300,ghost_rzim,10.0,WIN,8.7,84.0,13099786032,REAL
2025-09-20T22:56:00.391777-03:00,GBPUSD-OTC,60,fluxopro_rzim,10.0,WIN,8.7,87.0,13099799784,REAL
2025-09-20T23:05:00.248315-03:00,EURUSD-OTC,300,ghost_rzim,10.0,LOSS,-10.0,84.0,13099813370,REAL
2025-09-20T23:06:00.448681-03:00,GBPUSD-OTC,60,ghost_rzim,13.79,LOSS,-13.79,87.0,13099827189,REAL
2025-09-20T23:08:00.445742-03:00,EURUSD-OTC,60,ghost_rzim,29.64,LOSS,-29.64,87.0,13099832679,REAL
2025-09-20T23:15:00.245637-03:00,AUDUSD-OTC,300,ghost_rzim,65.99,LOSS,-65.99,84.0,13099841122,REAL
2025-09-20T23:16:00.405401-03:00,USDCHF-OTC,60,ghost_rzim,139.56,WIN,121.42,87.0,13099854654,REAL
2025-09-20T23:17:00.213348-03:00,EURUSD-OTC,60,diamond_rzim,10.0,LOSS,-10.0,87.0,13099857473,REAL
2025-09-20T23:25:00.395369-03:00,EURUSD-OTC,300,diamond_rzim,14.29,LOSS,-14.29,84.0,13099868213,REAL
2025-09-20T23:26:00.390684-03:00,GBPUSD-OTC,60,ghost_rzim,30.22,LOSS,-30.22,87.0,13099881894,REAL
2025-09-20T23:32:00.272818-03:00,AUDUSD-OTC,60,ghost_rzim,67.27,LOSS,-67.27,84.0,13099898362,REAL
2025-09-20T23:33:00.288693-03:00,EURUSD-OTC,60,ghost_rzim,142.28,WIN,123.78,87.0,13099901311,REAL
2025-09-20T23:40:00.270538-03:00,GBPUSD-OTC,300,ghost_rzim,10.0,WIN,8.7,84.0,13099909108,REAL
2025-09-20T23:42:00.233758-03:00,EURUSD-OTC,60,ghost_rzim,10.0,LOSS,-10.0,87.0,13099925195,REAL
2025-09-20T23:50:00.261852-03:00,EURUSD-OTC,300,ghost_rzim,14.29,LOSS,-14.29,84.0,13099935400,REAL
2025-09-20T23:51:00.445870-03:00,GBPUSD-OTC,60,ghost_rzim,30.22,WIN,26.29,87.0,13099948373,REAL
2025-09-20T23:53:00.127460-03:00,GBPUSD-OTC,60,achiles_rzim,10.0,DRAW,0.0,87.0,13099953466,REAL
2025-09-21T00:00:00.352239-03:00,GBPUSD-OTC,300,ghost_rzim,10.0,LOSS,-10.0,84.0,13099960315,REAL
2025-09-21T00:02:00.239529-03:00,EURUSD-OTC,60,diamond_rzim,13.79,LOSS,-13.79,87.0,13099974498,REAL
2025-09-21T00:10:00.235308-03:00,EURUSD-OTC,300,achiles_rzim,30.7,WIN,26.71,84.0,13099984264,REAL
2025-09-21T00:11:00.265293-03:00,GBPUSD-OTC,60,ghost_rzim,10.0,LOSS,-10.0,87.0,13099996628,REAL
2025-09-21T00:12:00.394695-03:00,EURUSD-OTC,60,ghost_rzim,13.79,WIN,12.0,87.0,13099999144,REAL
2025-09-21T00:20:00.157385-03:00,EURUSD-OTC,300,achiles_rzim,10.0,LOSS,-10.0,84.0,13100009229,REAL
2025-09-21T00:21:00.228648-03:00,GBPUSD-OTC,60,ghost_rzim,13.79,WIN,12.0,87.0,13100021573,REAL
2025-09-21T00:30:00.164234-03:00,EURUSD-OTC,300,ghost_rzim,10.0,WIN,8.7,84.0,13100033050,REAL
2025-09-21T00:31:00.257833-03:00,GBPUSD-OTC,60,achiles_rzim,10.0,LOSS,-10.0,87.0,13100044287,REAL
2025-09-21T00:40:00.244552-03:00,GBPUSD-OTC,300,diamond_rzim,14.29,LOSS,-14.29,84.0,13100055028,REAL
2025-09-21T00:41:00.205280-03:00,EURUSD-OTC,60,ghost_rzim,30.22,LOSS,-30.22,87.0,13100067623,REAL
2025-09-21T00:50:00.210859-03:00,EURUSD-OTC,300,ghost_rzim,67.27,WIN,58.52,84.0,13100080018,REAL
2025-09-21T00:51:00.215345-03:00,GBPUSD-OTC,60,diamond_rzim,10.0,WIN,8.7,87.0,13100093082,REAL
2025-09-21T00:52:00.344057-03:00,EURUSD-OTC,60,ghost_rzim,10.0,WIN,8.7,87.0,13100095572,REAL
2025-09-21T01:00:00.219074-03:00,EURUSD-OTC,300,ghost_rzim,10.0,LOSS,-10.0,84.0,13100104827,REAL
2025-09-21T01:01:00.368289-03:00,GBPUSD-OTC,60,fluxopro_rzim,13.79,LOSS,-13.79,87.0,13100118813,REAL
2025-09-21T01:02:00.204195-03:00,EURUSD-OTC,60,ghost_rzim,29.64,WIN,25.79,87.0,13100121489,REAL
2025-09-21T01:03:00.099173-03:00,GBPUSD-OTC,60,ghost_rzim,10.0,LOSS,-10.0,87.0,13100123939,REAL
2025-09-21T01:05:00.211342-03:00,EURUSD-OTC,60,diamond_rzim,13.79,WIN,12.0,87.0,13100128566,REAL
2025-09-21T01:06:00.138610-03:00,GBPUSD-OTC,60,ghost_rzim,10.0,WIN,8.7,87.0,13100131182,REAL
2025-09-21T01:15:00.241685-03:00,GBPUSD-OTC,300,ghost_rzim,10.0,LOSS,-10.0,84.0,13100142894,REAL
2025-09-21T01:25:00.115352-03:00,EURUSD-OTC,300,diamond_rzim,14.29,WIN,12.43,84.0,13100167374,REAL
2025-09-21T01:26:00.274942-03:00,GBPUSD-OTC,60,ghost_rzim,10.0,LOSS,-10.0,87.0,13100179437,REAL
2025-09-21T01:35:00.150965-03:00,GBPUSD-OTC,300,ghost_rzim,14.29,LOSS,-14.29,84.0,13100190496,REAL
2025-09-21T01:36:00.225985-03:00,EURUSD-OTC,60,achiles_rzim,30.22,WIN,26.29,87.0,13100201984,REAL
2025-09-21T01:45:00.146150-03:00,EURUSD-OTC,300,diamond_rzim,10.0,WIN,8.7,84.0,13100212813,REAL
2025-09-21T01:46:00.096013-03:00,GBPUSD-OTC,60,ghost_rzim,10.0,LOSS,-10.0,87.0,13100224832,REAL
2025-09-21T01:47:00.370616-03:00,EURUSD-OTC,60,ghost_rzim,13.79,LOSS,-13.79,87.0,13100227379,REAL
2025-09-21T01:55:00.082713-03:00,GBPUSD-OTC,300,achiles_rzim,30.7,LOSS,-30.7,84.0,13100235943,REAL
2025-09-21T01:57:00.075359-03:00,EURUSD-OTC,60,achiles_rzim,64.93,WIN,56.49,87.0,13100248384,REAL
2025-09-21T02:05:00.164548-03:00,EURUSD-OTC,300,ghost_rzim,10.0,LOSS,-10.0,84.0,13100255944,REAL
2025-09-21T02:06:00.134409-03:00,GBPUSD-OTC,60,diamond_rzim,13.79,LOSS,-13.79,87.0,13100266601,REAL
2025-09-21T02:07:00.242723-03:00,EURUSD-OTC,60,ghost_rzim,29.64,LOSS,-29.64,87.0,13100268487,REAL
2025-09-21T02:15:00.199462-03:00,EURUSD-OTC,300,diamond_rzim,65.99,WIN,57.41,84.0,13100277175,REAL
2025-09-21T02:16:00.326907-03:00,GBPUSD-OTC,60,achiles_rzim,10.0,LOSS,-10.0,87.0,13100287335,REAL
2025-09-21T02:17:00.152092-03:00,EURUSD-OTC,60,ghost_rzim,13.79,LOSS,-13.79,87.0,13100289406,REAL
2025-09-21T02:25:00.192651-03:00,GBPUSD-OTC,300,achiles_rzim,30.7,WIN,26.71,84.0,13100296006,REAL
2025-09-21T02:35:00.245839-03:00,EURUSD-OTC,300,diamond_rzim,10.0,LOSS,-10.0,84.0,13100315384,REAL
2025-09-21T02:36:00.230263-03:00,GBPUSD-OTC,60,achiles_rzim,13.79,LOSS,-13.79,87.0,13100326060,REAL
2025-09-21T02:38:00.127935-03:00,GBPUSD-OTC,60,ghost_rzim,29.64,LOSS,-29.64,87.0,13100330193,REAL
2025-09-21T02:45:00.083869-03:00,GBPUSD-OTC,300,ghost_rzim,65.99,WIN,57.41,84.0,13100336541,REAL
2025-09-21T02:47:00.145294-03:00,GBPUSD-OTC,60,ghost_rzim,10.0,WIN,8.7,87.0,13100349349,REAL
2025-09-21T02:52:00.214796-03:00,EURUSD-OTC,60,achiles_rzim,10.0,LOSS,-10.0,87.0,13100358606,REAL
2025-09-21T03:00:00.183761-03:00,EURUSD-OTC,300,ghost_rzim,14.29,WIN,12.43,84.0,13100365037,REAL
2025-09-21T03:01:00.116539-03:00,GBPUSD-OTC,60,diamond_rzim,10.0,LOSS,-10.0,87.0,13100374962,REAL
2025-09-21T03:02:00.156028-03:00,EURUSD-OTC,60,diamond_rzim,13.79,WIN,12.0,87.0,13100376768,REAL
2025-09-21T03:10:00.146890-03:00,EURUSD-OTC,300,ghost_rzim,10.0,LOSS,-10.0,84.0,13100383549,REAL
2025-09-21T03:12:00.083690-03:00,GBPUSD-OTC,60,ghost_rzim,13.79,LOSS,-13.79,87.0,13100393581,REAL
2025-09-21T03:20:00.078843-03:00,GBPUSD-OTC,300,diamond_rzim,30.7,LOSS,-30.7,84.0,13100399788,REAL
2025-09-21T03:22:00.147862-03:00,EURUSD-OTC,60,diamond_rzim,64.93,LOSS,-64.93,87.0,13100409804,REAL
2025-09-21T03:30:00.064755-03:00,EURUSD-OTC,300,achiles_rzim,144.55,WIN,125.76,84.0,13100415874,REAL
2025-09-21T03:31:00.124078-03:00,GBPUSD-OTC,60,ghost_rzim,10.0,WIN,8.7,87.0,13100422973,REAL
2025-09-21T03:32:00.049092-03:00,EURUSD-OTC,60,diamond_rzim,10.0,LOSS,-10.0,87.0,13100424607,REAL
2025-09-21T03:33:00.006203-03:00,GBPUSD-OTC,60,ghost_rzim,13.79,WIN,12.0,87.0,13100426303,REAL
2025-09-21T03:37:00.023250-03:00,GBPUSD-OTC,60,ghost_rzim,10.0,WIN,8.7,87.0,13100432400,REAL
2025-09-21T05:03:59.952795-03:00,EURUSD-OTC,60,ghost_rzim,2.0,LOSS,-2.0,87.0,13100564621,REAL
2025-09-21T05:05:00.028034-03:00,GBPUSD-OTC,60,diamond_rzim,4.02,LOSS,-4.02,87.0,13100566042,REAL
2025-09-21T05:15:00.079679-03:00,AUDUSD-OTC,300,diamond_rzim,8.95,LOSS,-8.95,84.0,13100575426,REAL
2025-09-21T05:16:59.885246-03:00,GBPUSD-OTC,60,diamond_rzim,18.93,LOSS,-18.93,87.0,13100585951,REAL
2025-09-21T05:24:59.963035-03:00,GBPUSD-OTC,300,ghost_rzim,42.14,LOSS,-42.14,84.0,13100592524,REAL
2025-09-21T05:34:59.996269-03:00,EURUSD-OTC,300,ghost_rzim,92.31,WIN,80.31,84.0,13100607292,REAL
2025-09-21T12:31:59.818221-03:00,EURUSD-OTC,60,ghost_rzim,2.0,LOSS,-2.0,87.0,13101548809,PRACTICE
